Order ID,Order Date,Ship Date,Product Category,Sub-Category,Customer Segment,Region,Country,City,Sales,Quantity,Discount,Profit,Ship Mode
DEMO-00096,2023-11-04,2023-11-10,Furniture,Tables,Corporate,North,Canada,Demo City 14,65.28,7,0.1,8.28,Standard Class
DEMO-00097,2025-11-26,2025-12-01,Office Supplies,Storage,Home Office,West,Germany,Demo City 3,351.4,10,0.05,9.03,Second Class
DEMO-00098,2024-07-18,2024-07-21,Office Supplies,Binders,Consumer,West,United States,Demo City 25,264.06,4,0.2,52.8,Standard Class
DEMO-00099,2025-07-14,2025-07-19,Office Supplies,Paper,Home Office,North,United Kingdom,Demo City 25,112.98,4,0.0,2.98,Second Class
DEMO-00100,2023-03-07,2023-03-09,Technology,Machines,Corporate,West,United States,Demo City 4,376.91,7,0.0,18.39,Same Day
DEMO-00101,2024-09-19,2024-09-26,Technology,Phones,Home Office,North,United Kingdom,Demo City 13,96.91,1,0.5,-13.92,First Class
DEMO-00102,2024-01-12,2024-01-17,Technology,Machines,Home Office,East,India,Demo City 6,62.63,4,0.0,15.12,Standard Class
DEMO-00103,2023-07-22,2023-07-26,Technology,Accessories,Corporate,East,India,Demo City 23,140.53,3,0.3,-16.36,First Class
DEMO-00104,2025-10-09,2025-10-13,Furniture,Bookcases,Consumer,East,Japan,Demo City 2,110.17,7,0.2,1.29,Same Day
DEMO-00105,2023-06-25,2023-06-30,Furniture,Tables,Consumer,East,India,Demo City 11,295.27,5,0.0,38.9,Same Day
DEMO-00106,2024-01-11,2024-01-15,Technology,Machines,Home Office,North,United Kingdom,Demo City 20,178.18,3,0.3,-27.52,Same Day
DEMO-00107,2025-11-05,2025-11-09,Furniture,Tables,Consumer,South,Brazil,Demo City 24,28.04,6,0.2,2.73,Same Day
DEMO-00108,2024-05-14,2024-05-15,Office Supplies,Paper,Home Office,West,Germany,Demo City 30,1372.37,9,0.0,549.61,Second Class
DEMO-00109,2024-09-17,2024-09-22,Office Supplies,Binders,Corporate,East,Japan,Demo City 1,618.28,10,0.05,327.05,First Class
DEMO-00110,2025-04-21,2025-04-22,Furniture,Chairs,Consumer,West,Germany,Demo City 10,279.19,6,0.0,59.59,First Class
DEMO-00111,2024-10-01,2024-10-08,Technology,Accessories,Consumer,South,Brazil,Demo City 15,146.3,11,0.0,25.31,Standard Class
DEMO-00112,2023-01-10,2023-01-14,Office Supplies,Paper,Home Office,North,Canada,Demo City 8,261.35,6,0.1,38.8,First Class
DEMO-00113,2023-11-27,2023-12-04,Office Supplies,Storage,Home Office,South,Australia,Demo City 4,75.12,2,0.05,10.15,Same Day
DEMO-00114,2023-09-01,2023-09-05,Furniture,Tables,Consumer,West,United States,Demo City 25,637.26,11,0.0,209.91,Same Day
DEMO-00115,2023-04-27,2023-05-03,Office Supplies,Binders,Corporate,East,India,Demo City 16,280.97,6,0.0,40.06,First Class
DEMO-00116,2023-02-17,2023-02-19,Office Supplies,Binders,Home Office,South,Australia,Demo City 13,247.23,5,0.1,24.06,Standard Class
DEMO-00117,2024-12-13,2024-12-16,Technology,Phones,Corporate,West,Germany,Demo City 6,36.31,2,0.05,2.08,Standard Class
DEMO-00118,2025-02-27,2025-03-01,Office Supplies,Paper,Consumer,East,India,Demo City 9,199.9,10,0.3,9.7,Standard Class
DEMO-00119,2024-05-09,2024-05-13,Technology,Accessories,Corporate,West,United States,Demo City 25,393.49,10,0.2,108.55,Second Class
DEMO-00120,2023-06-10,2023-06-12,Furniture,Tables,Corporate,North,Canada,Demo City 29,244.05,2,0.5,12.86,Standard Class
DEMO-00121,2025-09-29,2025-10-04,Technology,Phones,Corporate,South,Australia,Demo City 30,54.25,1,0.0,15.53,Second Class
DEMO-00122,2024-02-11,2024-02-15,Furniture,Bookcases,Consumer,East,Japan,Demo City 25,188.25,3,0.5,-109.71,Same Day
DEMO-00123,2023-03-01,2023-03-07,Office Supplies,Binders,Home Office,South,Australia,Demo City 25,30.03,1,0.05,12.51,Standard Class
DEMO-00124,2023-11-04,2023-11-06,Technology,Machines,Consumer,West,Germany,Demo City 12,219.83,5,0.2,-25.01,Second Class
DEMO-00125,2024-12-10,2024-12-13,Office Supplies,Binders,Home Office,North,Canada,Demo City 22,109.56,2,0.2,13.59,Second Class
DEMO-00126,2024-08-31,2024-09-02,Technology,Phones,Home Office,East,Japan,Demo City 30,470.35,7,0.1,-32.31,Same Day
DEMO-00127,2023-07-08,2023-07-11,Furniture,Tables,Home Office,North,United Kingdom,Demo City 22,175.2,5,0.3,-12.78,Second Class
DEMO-00128,2025-03-04,2025-03-11,Office Supplies,Paper,Corporate,East,India,Demo City 6,434.82,5,0.1,56.33,First Class
DEMO-00129,2023-12-22,2023-12-27,Furniture,Chairs,Corporate,South,Australia,Demo City 22,227.17,5,0.1,35.4,First Class
DEMO-00130,2025-04-02,2025-04-04,Technology,Machines,Home Office,North,United Kingdom,Demo City 6,118.44,4,0.0,-2.2,Standard Class
DEMO-00131,2025-03-22,2025-03-24,Office Supplies,Storage,Corporate,South,Australia,Demo City 17,120.99,2,0.05,22.44,First Class
DEMO-00132,2025-02-25,2025-03-04,Office Supplies,Binders,Corporate,West,Germany,Demo City 14,315.98,7,0.05,86.25,First Class
DEMO-00133,2023-07-13,2023-07-20,Furniture,Bookcases,Home Office,North,United Kingdom,Demo City 10,523.93,5,0.3,-42.93,Second Class
DEMO-00134,2024-03-17,2024-03-24,Office Supplies,Storage,Home Office,East,Japan,Demo City 10,142.24,6,0.2,-7.55,Same Day
DEMO-00135,2024-11-16,2024-11-20,Office Supplies,Storage,Consumer,West,United States,Demo City 19,447.7,9,0.2,153.75,First Class
DEMO-00136,2024-12-20,2024-12-26,Furniture,Chairs,Home Office,South,Brazil,Demo City 18,119.31,3,0.1,34.54,Standard Class
DEMO-00137,2025-02-05,2025-02-11,Furniture,Tables,Consumer,North,Canada,Demo City 4,619.16,4,0.2,25.21,Second Class
DEMO-00138,2025-08-19,2025-08-26,Furniture,Chairs,Home Office,West,United States,Demo City 19,417.16,3,0.0,215.72,Standard Class
DEMO-00139,2024-05-10,2024-05-11,Office Supplies,Storage,Home Office,North,United Kingdom,Demo City 18,447.99,9,0.05,44.13,Standard Class
DEMO-00140,2023-01-02,2023-01-09,Technology,Phones,Home Office,South,Australia,Demo City 1,623.47,7,0.1,85.19,First Class
DEMO-00141,2023-07-14,2023-07-17,Technology,Phones,Consumer,North,United Kingdom,Demo City 12,1172.15,9,0.5,-11.0,First Class
DEMO-00142,2024-03-08,2024-03-11,Office Supplies,Paper,Home Office,South,Brazil,Demo City 22,207.58,9,0.3,29.36,Same Day
DEMO-00143,2023-12-23,2023-12-25,Technology,Phones,Corporate,South,Brazil,Demo City 9,484.65,10,0.0,153.17,Standard Class
DEMO-00144,2024-01-06,2024-01-11,Furniture,Bookcases,Home Office,North,Canada,Demo City 11,37.09,1,0.1,3.45,Standard Class
DEMO-00145,2023-02-17,2023-02-18,Technology,Accessories,Corporate,North,Canada,Demo City 17,362.37,10,0.3,-35.26,First Class
DEMO-00146,2023-12-05,2023-12-08,Furniture,Tables,Consumer,South,Brazil,Demo City 19,409.18,9,0.1,131.45,Standard Class
DEMO-00147,2023-02-18,2023-02-24,Furniture,Chairs,Corporate,West,Germany,Demo City 21,65.38,2,0.0,19.76,Same Day
DEMO-00148,2025-11-09,2025-11-16,Office Supplies,Storage,Home Office,North,United Kingdom,Demo City 14,398.29,8,0.1,45.87,Standard Class
DEMO-00149,2025-03-27,2025-03-31,Furniture,Tables,Home Office,North,Canada,Demo City 12,100.68,8,0.05,2.95,First Class
DEMO-00150,2023-11-12,2023-11-15,Furniture,Chairs,Home Office,North,United Kingdom,Demo City 4,8.95,1,0.2,0.32,Same Day
DEMO-00151,2024-05-08,2024-05-12,Furniture,Tables,Home Office,East,India,Demo City 26,323.11,5,0.05,-3.54,Standard Class
DEMO-00152,2025-07-08,2025-07-15,Furniture,Chairs,Corporate,North,Canada,Demo City 25,185.47,3,0.3,10.86,Second Class
DEMO-00153,2023-11-26,2023-12-01,Office Supplies,Paper,Consumer,West,United States,Demo City 27,239.87,1,0.0,7.83,Standard Class
DEMO-00154,2023-07-17,2023-07-20,Furniture,Tables,Corporate,North,Canada,Demo City 8,207.7,5,0.0,21.17,Standard Class
DEMO-00155,2023-02-05,2023-02-12,Furniture,Bookcases,Consumer,South,Brazil,Demo City 23,89.71,3,0.2,2.48,Standard Class
DEMO-00156,2023-04-24,2023-04-30,Technology,Machines,Corporate,North,Canada,Demo City 5,978.31,7,0.0,170.88,Same Day
DEMO-00157,2025-09-29,2025-10-05,Furniture,Bookcases,Consumer,North,Canada,Demo City 25,138.79,5,0.05,29.79,Same Day
DEMO-00158,2025-05-20,2025-05-25,Technology,Accessories,Consumer,South,Australia,Demo City 20,292.66,6,0.5,-30.95,Second Class
DEMO-00159,2024-12-31,2025-01-03,Technology,Accessories,Corporate,North,United Kingdom,Demo City 25,38.7,2,0.3,7.24,First Class
DEMO-00160,2025-11-27,2025-12-01,Furniture,Tables,Corporate,West,Germany,Demo City 9,132.44,11,0.05,34.91,First Class
DEMO-00161,2023-12-01,2023-12-03,Furniture,Tables,Home Office,East,India,Demo City 30,175.43,4,0.05,62.5,Second Class
DEMO-00162,2025-11-28,2025-12-05,Office Supplies,Paper,Corporate,North,United Kingdom,Demo City 4,287.56,7,0.2,-14.47,First Class
DEMO-00163,2025-12-07,2025-12-08,Office Supplies,Binders,Consumer,North,United Kingdom,Demo City 29,684.5,11,0.05,49.74,First Class
DEMO-00164,2023-08-11,2023-08-15,Office Supplies,Binders,Consumer,East,India,Demo City 18,8.0,1,0.2,-1.53,Same Day
DEMO-00165,2025-01-05,2025-01-07,Office Supplies,Binders,Home Office,South,Australia,Demo City 5,913.11,10,0.05,153.28,Second Class
DEMO-00166,2025-10-16,2025-10-21,Technology,Machines,Home Office,East,India,Demo City 18,284.12,11,0.5,-80.66,Second Class
DEMO-00167,2025-03-09,2025-03-14,Technology,Machines,Corporate,North,Canada,Demo City 29,329.47,9,0.1,-60.19,Second Class
DEMO-00168,2025-02-12,2025-02-15,Technology,Machines,Home Office,South,Brazil,Demo City 2,51.06,2,0.2,5.03,Standard Class
DEMO-00169,2023-05-05,2023-05-08,Office Supplies,Storage,Corporate,East,Japan,Demo City 5,142.46,6,0.2,-2.46,Standard Class
DEMO-00170,2024-06-23,2024-06-26,Furniture,Chairs,Consumer,South,Australia,Demo City 16,244.75,6,0.0,65.85,Same Day
DEMO-00171,2025-12-20,2025-12-27,Technology,Machines,Corporate,South,Brazil,Demo City 11,607.41,9,0.5,-40.12,Second Class
DEMO-00172,2024-12-24,2024-12-25,Technology,Phones,Home Office,South,Brazil,Demo City 17,18.84,1,0.1,7.39,Second Class
DEMO-00173,2023-01-06,2023-01-12,Furniture,Bookcases,Consumer,West,United States,Demo City 22,15.11,1,0.3,0.41,First Class
DEMO-00174,2023-07-08,2023-07-15,Technology,Phones,Consumer,West,Germany,Demo City 24,230.09,7,0.05,59.24,Standard Class
DEMO-00175,2024-08-15,2024-08-21,Furniture,Chairs,Home Office,South,Brazil,Demo City 19,1437.11,11,0.0,424.16,Same Day
DEMO-00176,2025-11-23,2025-11-30,Furniture,Chairs,Home Office,West,Germany,Demo City 14,145.4,2,0.2,10.36,First Class
DEMO-00177,2023-05-05,2023-05-06,Office Supplies,Storage,Consumer,South,Brazil,Demo City 18,61.32,6,0.05,9.74,Same Day
DEMO-00178,2025-07-31,2025-08-02,Office Supplies,Paper,Home Office,South,Brazil,Demo City 25,314.32,11,0.2,33.15,Standard Class
DEMO-00179,2024-01-25,2024-01-27,Furniture,Bookcases,Consumer,East,Japan,Demo City 5,1362.06,11,0.5,-250.45,Standard Class
DEMO-00180,2024-07-09,2024-07-15,Technology,Machines,Corporate,East,India,Demo City 20,494.79,11,0.1,87.37,Same Day
DEMO-00181,2024-11-10,2024-11-17,Furniture,Bookcases,Corporate,West,United States,Demo City 10,1205.78,4,0.0,361.08,Same Day
DEMO-00182,2023-06-27,2023-07-01,Technology,Machines,Consumer,East,India,Demo City 24,158.61,3,0.05,6.05,First Class
DEMO-00183,2024-08-04,2024-08-08,Office Supplies,Paper,Corporate,North,United Kingdom,Demo City 29,238.33,11,0.0,-3.87,Second Class
DEMO-00184,2025-03-14,2025-03-19,Technology,Phones,Consumer,West,United States,Demo City 22,154.55,6,0.1,24.46,First Class
DEMO-00185,2025-02-24,2025-02-25,Furniture,Bookcases,Home Office,North,United Kingdom,Demo City 22,384.15,11,0.1,16.83,First Class
DEMO-00186,2023-11-27,2023-11-30,Office Supplies,Binders,Corporate,West,Germany,Demo City 24,1600.06,5,0.2,97.43,First Class
DEMO-00187,2023-02-19,2023-02-25,Office Supplies,Binders,Corporate,West,Germany,Demo City 16,525.01,5,0.1,62.91,Standard Class
DEMO-00188,2023-09-03,2023-09-10,Furniture,Bookcases,Consumer,East,India,Demo City 17,89.61,2,0.0,-8.18,Standard Class
DEMO-00189,2023-07-27,2023-08-03,Technology,Machines,Home Office,West,Germany,Demo City 6,132.87,2,0.0,32.9,First Class
DEMO-00190,2023-09-29,2023-10-02,Office Supplies,Binders,Consumer,North,United Kingdom,Demo City 22,239.63,4,0.1,32.7,First Class
DEMO-00191,2023-04-30,2023-05-06,Office Supplies,Paper,Corporate,East,India,Demo City 14,59.63,1,0.1,-1.37,Same Day
DEMO-00192,2025-02-26,2025-02-28,Technology,Machines,Home Office,North,Canada,Demo City 6,151.42,4,0.0,36.32,Second Class
DEMO-00193,2025-09-13,2025-09-15,Technology,Accessories,Home Office,South,Brazil,Demo City 2,194.05,2,0.1,-24.2,Same Day
DEMO-00194,2024-04-27,2024-05-04,Furniture,Bookcases,Home Office,South,Australia,Demo City 16,123.39,8,0.3,-42.56,Same Day
DEMO-00195,2024-06-22,2024-06-25,Furniture,Tables,Corporate,South,Australia,Demo City 23,8.0,1,0.0,2.03,First Class
DEMO-00196,2025-04-23,2025-04-30,Furniture,Bookcases,Home Office,West,Germany,Demo City 4,171.35,2,0.0,-3.85,Same Day
DEMO-00197,2024-04-17,2024-04-20,Technology,Machines,Corporate,South,Brazil,Demo City 19,722.28,5,0.05,86.02,Second Class
DEMO-00198,2023-03-07,2023-03-13,Technology,Phones,Home Office,North,Canada,Demo City 21,82.92,3,0.0,11.29,Standard Class
DEMO-00199,2023-11-24,2023-11-29,Office Supplies,Storage,Home Office,North,Canada,Demo City 13,292.28,9,0.05,48.02,Standard Class
DEMO-00200,2025-02-04,2025-02-06,Office Supplies,Storage,Home Office,South,Brazil,Demo City 19,926.91,11,0.05,-39.81,Same Day
